,origin,passengers
0,,2342
1,Abdullah Hukum,10611
2,Alor Setar,24161
3,Anak Bukit,11379
4,Angkasapuri,509
5,Arau,23590
6,Aur Gading,21
7,Bagan Serai,2236
8,Bahau,2304
9,Bangi,9677
10,Bank Negara,6372
11,Batang Benar,5377
12,Batang Kali,1689
13,Batang Melaka,1243
14,Batu Caves,23401
15,Batu Gajah,10236
16,Batu Kentonmen,664
17,Batu Tiga,5522
18,Bdr Tasek Selatan,7205
19,Bekok,622
20,Bertam,56
21,Bertam Baru,509
22,Bukit Abu,237
23,Bukit Badak,4614
24,Bukit Betong,38
25,Bukit Ketri,7044
26,Bukit Mertajam,21463
27,Bukit Panau,91
28,Bukit Tengah,16537
29,Bunut Susu,204
30,Butterworth,31504
31,Chegar Perah,86
32,Chicha Tinggi,31
33,Dabong,8393
34,Gemas,5992
35,Gua Musang,4213
36,Gurun,7270
37,Hat Yai,265
38,Ipoh,17840
39,JB Sentral,11066
40,Jalan Templer,821
41,Jenderak,167
42,Jerantut,2501
43,Jerek Baru,297
44,Jln Kastam,1629
45,KL Sentral,68066
46,Kajang,6792
47,Kajang 2,2440
48,Kampar,9149
49,Kampung Batu,4706
50,Kamunting,4654
51,Kemayan,1862
52,Kempas Baru,5711
53,Kemubu,326
54,Kepong,1068
55,Kepong Sentral,1433
56,Kg Baru Bukit Abu,100
57,Kg Berkam,23
58,Kg Dato Harun,4333
59,Kg Kok Pasir,108
60,Kg Raja Uda,3058
61,Kg Sirian,72
62,Klang,16128
63,Kluang,8952
64,Kobah,13245
65,Kodiang,9
66,Kodiang ,7378
67,Krai,5918
68,Krambit,97
69,Kuala Gris,548
70,Kuala Kangsar,4262
71,Kuala Krau,788
72,Kuala Kubu Bharu,1080
73,Kuala Lipis,5819
74,Kuala Lumpur,6124
75,Kuang,2604
76,Kulai,3414
77,Labis,754
78,Labu,1918
79,Layang Layang,544
80,Limau Kasturi,275
81,Manek Urai,945
82,Mela,133
83,Mengkarak,90
84,Mentakab,2817
85,Mentara Baru,73
86,Merapoh,219
87,Nibong Tebal,2901
88,Nilai,11337
89,Padang Besar,13379
90,Padang Jawa,9122
91,Padang Rengas,2017
92,Padang Tungku,159
93,Pahi,230
94,Paloh,1070
95,Pan Malayan,88
96,Pantai Dalam,6814
97,Parit Buntar,6252
98,Pasir Mas,6333
99,Pel Klang Sel,4046
100,Perhentian Midvalley,13962
101,Petaling,7426
102,Pulau Sebang/Tampin,2168
103,Putra,3858
104,Rasa,1884
105,Rawang,6220
106,Rembau,1336
107,Rengam,507
108,Salak Selatan,1787
109,Segamat,2933
110,Segambut,719
111,Senawang,4789
112,Sentul,1994
113,Seputeh,716
114,Serdang,8222
115,Seremban,8166
116,Serendah,2539
117,Seri Setia,2731
118,Setia Jaya,11488
119,Sg Mengkuang Baru,207
120,Shah Alam,11933
121,Simpang Ampat,4840
122,Slim River,934
123,Sri Bintang,14
124,Sri Jaya,27
125,Sri Mahligai,128
126,Subang Jaya,25816
127,Sungai Buloh,13376
128,Sungai Gadut,3704
129,Sungai Keladi,32
130,Sungai Nal,46
131,Sungai Petani,26542
132,Sungai Siput,953
133,Sungai Sirian,22
134,Sungai Tasin,44
135,Sungai Temau,150
136,Sungkai,1055
137,Taiping,8091
138,Taman Wahyu,3497
139,Tanah Merah,6984
140,Tanjong Malim,4801
141,Tapah Road,3938
142,Tasek Gelugor,11213
143,Telok Gadong,5345
144,Telok Pulai,4911
145,Teluk Gunung,57
146,Temangan,493
147,Tiroi,2281
148,To Uban,208
149,Triang,1015
150,Tumpat,2622
151,Ukm,7043
152,Ulu Temiang,269
153,Wakaf Bharu,8740
